Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
Port Stephens Veterans and Citizens Aged Care - Community Services,"Unit 1, 63 Donald Street",,NELSON BAY,NSW,2315,Hunter,Home Care,,,,Port Stephens Veterans and Citizens Aged Care Ltd,Community Based,Inner Regional Australia,-32.72207289,152.1416211," $1,111,847 "
Shepparton Villages Home Care & Support Services,9 Batman Avenue,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Shepparton Retirement Villages Inc,Charitable,Inner Regional Australia,-36.36389362,145.3916584," $480,684 "
Pennwood Home Care,19 Windsor Avenue,,PENNINGTON,SA,5013,Metropolitan West,Home Care,,,,Serbian Community Welfare Association of SA Inc,Community Based,Major Cities of Australia,-34.85834545,138.5364077," $581,992 "
SCC Homecare (South level 2),151 Greenhill Road,,PARKSIDE,SA,5064,Metropolitan East,Home Care,,,,Southern Cross Care (SA & NT) Incorporated,Religious,Major Cities of Australia,-34.94132961,138.6076925," $240,494 "
Pulkapulkka Kari Nursing Home and Hostel,Peko Road,,TENNANT CREEK,NT,860,Barkly,National Aboriginal and Torres Strait Islander Aged Care Program,25,20,,Australian Regional and Remote Community Services Limited,Charitable,Very Remote Australia,-19.64761284,134.2130458," $2,033,821 "
Hunter Nursing Pty Ltd,"Suite 3, 52 Pendlebury Road",,CARDIFF,NSW,2285,Hunter,Home Care,,,,Hunter Nursing Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.94115868,151.6533881," $432,922 "
Charlton Aged Care,4 Learmonth Street,,CHARLTON,VIC,3525,Loddon-Mallee,Residential,15,,,East Wimmera Health Service,State Government,Outer Regional Australia,-36.27049581,143.351331," $791,925 "
Amana Transition Care Service,99 McCabe Street,,MOSMAN PARK,WA,6012,Metropolitan North,Transition Care,,,65,Government of Western Australia,State Government,Major Cities of Australia,-32.01857,115.76914," $4,300,326 "
Aegis Karalee,68 Lyall Street,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,61,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93913137,115.9410604," $4,473,361 "
Aurrum Brunswick,17 Egginton Street,,BRUNSWICK WEST,VIC,3055,Northern Metro,Residential,60,,,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.75994119,144.9389694," $3,544,661 "
Weary Dunlop Retirement Village,242 Jells Road,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,82,,,Ryman Aged Care (Australia) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.9117172,145.1884847," $3,800,007 "
Arcare Parkinson,2791 Beaudesert Road,,PARKINSON,QLD,4115,Brisbane South,Residential,110,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.6387406,153.0436052," $2,194,283 "
Strathearn House,75 Gundy Road,,SCONE,NSW,2337,Hunter,Residential,65,,,Strathearn Village,Community Based,Inner Regional Australia,-32.05737444,150.8774448," $460,903 "
Gosling Creek Aged Care,1501-1503 Forest Road,,ORANGE,NSW,2800,Central West,Residential,77,,,Allity Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.31721252,149.089178," $3,977,265 "
Care Connect Hume Aboriginal Home Care Packages,399 Wyndham Street,,SHEPPARTON,VIC,3672,Hume,Home Care,,,,Care Connect Ltd,Charitable,Inner Regional Australia,-36.3825901,145.3992757," $213,560 "
My Choice,77 Gibson Street,,BOWDEN,SA,5007,Metropolitan West,Home Care,,,,UnitingCare Wesley Bowden Incorporated,Religious,Major Cities of Australia,-34.90265244,138.5808199," $230,515 "
Barunga Home Care - Mid North,11 Edmund Street,,PORT BROUGHTON,SA,5522,"Yorke, Lower North & Barossa",Home Care,,,,Barunga Village Incorporated,Community Based,Outer Regional Australia,-33.60181843,137.9325623," $34,615 "
RDNS Home Care Packages NSW Far North coast,Suite 5,109 William Street,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,Royal District Nursing Service Limited,Charitable,Inner Regional Australia,-31.43092002,152.9137997," $349,248 "
RDNS Home Care Packages NSW Northern Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097," $563,032 "
RDNS Home Care Packages NSW Mid North Coast,Suite 5,109 Wiliam Street,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,Royal District Nursing Service Limited,Charitable,Inner Regional Australia,-31.43091143,152.9090121," $514,829 "
RDNS Home Care Packages NSW Central Coast,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097," $596,803 "
RDNS Home Care Packages NSW South West Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097," $584,433 "
RDNS Home Care Packages NSW Inner West Sydney,Office A2.01,20 Lexingon Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73526107,150.9462954," $369,501 "
RDNS Home Care Packages NSW Western Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097," $525,728 "
RDNS Home Care Packages NSW South East Sydney,Office A2.01,20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-33.73574799,150.9469097," $648,265 "
Integratedliving ACT,10-12 Monaro Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Home Care,,,,Integratedliving Australia Ltd,Community Based,Major Cities of Australia,-35.35330757,149.2345482," $278,578 "
Mercy Home & Community Care - Southern Metro CALD,Level 2,12 Shelley Street,RICHMOND,VIC,3121,Northern Metro,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.81080824,144.9935088," $171,700 "
Mercy Home & Community Care - Whittlesea,67 Cade Way,,PARKVILLE,VIC,3052,Western Metro,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.77732162,144.9399746," $320,257 "
Mercy Home & Community Care - Yarra Ranges,259 Jasper Road,,MCKINNON,VIC,3204,Southern Metro,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.912036,145.042585," $595,757 "
Nextt Home Care Services - Hume,"Level 12, 520 Collins Street",,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,AAA Nextt Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.81792911,144.9573396," $87,373 "
Heathcote Home Care,39 Hospital Street,,HEATHCOTE,VIC,3523,Loddon-Mallee,Home Care,,,,Heathcote Health,State Government,Inner Regional Australia,-36.92560414,144.7097048," $567,605 "
Care Connect - Loddon-Mallee,24 Percy Street,,ECHUCA,VIC,3564,Loddon-Mallee,Home Care,,,,Care Connect Ltd,Charitable,Inner Regional Australia,-36.12513988,144.7497381," $317,282 "
Care Connect - Hume,399 Wyndham Street,,SHEPPARTON,VIC,3632,Hume,Home Care,,,,Care Connect Ltd,Charitable,Inner Regional Australia,-36.3825782,145.3992579," $359,657 "
RDNS Home Care Packages Tas Southern,181 Elizabeth Street,,HOBART,TAS,7000,Southern,Home Care,,,,Royal District Nursing Service Limited,Charitable,Inner Regional Australia,-42.88075568,147.3259233," $562,546 "
Gordon Park Multiservice Centre,45 Shamrock Street,,GORDON PARK,QLD,4031,Brisbane North,Home Care,,,,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,-27.41956007,153.0299319," $1,319,155 "
St Simeon Community Care - Alexandria,14 Renwick Street,,ALEXANDRIA,NSW,2015,South East Sydney,Home Care,,,,Serbian Orthodox Diocese Aged Care and Education Property Fund,Charitable,Major Cities of Australia,-33.89961283,151.1927039," $559,736 "
Anglicare Community Aged Care - Northern Sydney,"Unit 22, 14 Rodborough Road",,FRENCHS FOREST,NSW,2086,Northern Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75361009,151.2476237," $910,946 "
Anglicare Community Aged Care - South West Sydney,40 Cumberland Street,,CABRAMATTA,NSW,2166,South West Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.89648312,150.9416396," $1,017,389 "
Anglicare Community Aged Care - Western Sydney,91A Kurrajong Avenue,,MOUNT DRUITT,NSW,2770,Western Sydney,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.76322105,150.8078046," $1,257,121 "
Anglicare Community Aged Care - Southern Highlands,5/274 Argyle Street,,MOSS VALE,NSW,2577,South West Sydney,Home Care,,,,Anglican Community Services,Religious,Inner Regional Australia,-34.55435098,150.3615424," $527,798 "
Anglicare Community Aged Care - Inner West,1 Sloane Street,,SUMMER HILL,NSW,2130,Inner West,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.88877494,151.1404936," $675,946 "
integratedliving - Northern,5-281 Ross River Road,,AITKENVILLE,QLD,4814,Northern,Home Care,,,,Integratedliving Australia Ltd,Community Based,Outer Regional Australia,-19.2970457,146.7646027," $817,716 "
integratedliving - Mackay,13 Mattey Court,,WALKERSTON,QLD,4751,Mackay,Home Care,,,,Integratedliving Australia Ltd,Community Based,Outer Regional Australia,-21.16476624,149.0542724," $295,763 "
Boronia House,183-197 Boronia Road,,ST MARYS,NSW,1790,Nepean,Residential,124,,,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.74827632,150.7788179," $8,821,715 "
EACH Eastern Metro,46 Warrandyte Road,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,EACH,State Government,Major Cities of Australia,-37.809,145.230779," $1,431,366 "
Integratedliving Mid North Coast,108 Park Beach Road,,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-30.28577363,153.1332903," $867,418 "
integratedliving Illawarra,"Unit 3, 98 Worrigee Street",,NOWRA,NSW,2541,Illawarra,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-34.87680628,150.6021614," $1,041,071 "
integratedliving Hunter,3 Wilkinson Avenue,,MUSWELLBROOK,NSW,2333,Hunter,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-32.26883475,150.8906989," $1,723,637 "
integratedliving Riverina/Murray,90-98 Murray Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-35.116455,147.3601595," $756,320 "
integratedliving Far North Coast,"Suite 1A, 85 Tamar Street",,BALLINA,NSW,2478,Far North Coast,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-28.86839837,153.5597383," $674,516 "
integratedliving Central West,"Unit 3, 364 Clarinda Street",,PARKES,NSW,2870,Central West,Home Care,,,,Integratedliving Australia Ltd,Community Based,Outer Regional Australia,-33.13261657,148.1735576," $528,189 "
integratedliving Orana Far West,32 Victoria Street,,DUBBO,NSW,2830,Orana Far West,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-32.24780928,148.5922945," $760,128 "
RSL Care WA Rural South West Home Care Packages,2 Wattle Street,,BUNBURY,WA,6230,South West,Home Care,,,,The RSL Care WA Retirement and Aged Care Association Incorporated,Charitable,Inner Regional Australia,-33.33509515,115.629873," $285,424 "
Villa Maria Community Services Northern Region,190 Benalla Road,,SHEPPARTON,VIC,3564,Hume,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-36.38750001,145.4274956," $284,254 "
Villa Maria Grampians Home Care Packages Program,190 Benalla Road,,SHEPPARTON,VIC,3564,Hume,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-36.38750001,145.4274956," $244,342 "
Villa Maria Gippsland Home Care Packages,Unit 2,4 Stephensons Street,PACKENHAM,VIC,3810,Southern Metro,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-38.07510297,145.4803464," $853,725 "
Linkages: Central Highlands Coordinated Community Care,106 Market Street,,BALLARAT,VIC,3350,Grampians,Home Care,,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.557336,143.855731," $335,171 "
integratedliving Northern Tas,22  EARL STREET,,LAUNCESTON,TAS,7250,Northern,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-41.43652488,147.1417333," $2,024,098 "
CGHS - Home Care Package Program,155 Guthridge Parade,,SALE,VIC,3850,Gippsland,Home Care,,,,Central Gippsland Health Service,State Government,Inner Regional Australia,-38.10892045,147.0813899," $336,630 "
Churches of Christ Care - Community Care - Wide Bay/Hervey Bay,130 Pantlins Lane,,PIALBA,QLD,4655,Wide Bay,Home Care,,,,Churches of Christ in Queensland,Religious,Inner Regional Australia,-25.29414362,152.8135764," $1,305,414 "
Northern Region Home Care Victoria,"Level 2, 818 Whitehorse Road",,BOXHILL,VIC,3128,Eastern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.81720416,145.1159337," $908,380 "
South East Region Homecare,431 Racecourse Road,,MORNINGTON,VIC,3931,Southern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.23766689,145.0664909," $918,380 "
JBC Home Care Packages ACT,"Unit 8, 41-45 Tennant Street",,FYSHWICK,ACT,2609,ACT,Home Care,,,,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-35.33282073,149.1864054," $212,996 "
Annecto Orana Far West Level 4,161-163 Langtree Avenue,,MILDURA,VIC,3502,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $516,754 "
"HCR - Home Care Packages, Eastern Metropolitan","Unit 5, 312 Waverley Road",,MALVERN EAST,VIC,3145,Southern Metro,Home Care,,,,Argent Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.877546,145.058244," $1,031,529 "
"HCR - Home Care Packages, Southern Metropolitan",312 Waverley Road,,MALVERN EAST,VIC,3145,Southern Metro,Home Care,,,,Argent Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.877547,145.058243," $774,342 "
mecwacare Home Care Packages 5 (Southern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $962,956 "
Benetas Home Care Hume,"Shop 6&7, Finborough Crt",69-75 McLennan Street,MOOROOPNA,VIC,3629,Hume,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.39482663,145.3602938," $145,923 "
Benetas Home Care Gippsland,49-53 Hazelwood Road,,TRARALGON,VIC,3844,Gippsland,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-38.20931926,146.5206102," $309,819 "
Churches of Christ Care - Community Care - Bribie Island/Caboolture,30 Foley Street,,BRIBIE ISLAND,QLD,4507,Cabool,Home Care,,,,Churches of Christ in Queensland,Religious,Inner Regional Australia,-27.07910147,153.1618899," $922,171 "
Multicultural Aged Care Services Geelong Inc,100 Weddell Road,,NORTH GEELONG,VIC,3125,Barwon-South Western,Home Care,,,,Multicultural Aged Care Services Geelong Inc,Community Based,Major Cities of Australia,-38.12586399,144.347892," $1,184,338 "
MiCare SMR,1105 Frankston - Dandenong Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Home Care,,,,MiCare Ltd,Community Based,Major Cities of Australia,-38.09356142,145.1773635," $953,757 "
MiCare Gippsland,63 Church Street,,MORWELL,VIC,3840,Gippsland,Home Care,,,,MiCare Ltd,Community Based,Inner Regional Australia,-38.23496,146.399284," $484,310 "
UPA Mid North Coast CDC,9 River Street,,MACKSVILLE,NSW,2447,Mid North Coast,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Outer Regional Australia,-30.70729669,152.9248994," $310,463 "
HammondAtHome Nepean,"Suite 405, Level 4",10 Century Circuit,BAULKHAM HILLS,NSW,2153,Western Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.7335251,150.9630072," $829,277 "
HammondAtHome Southern Highlands,HammondCare - Miranda,19 Kiama Street,MIRANDA,NSW,2228,South East Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-34.02428446,151.1051272," $859,904 "
Brightwater Home Care Packages South East,"170 Swansea Street, East",,EAST VICTORIA PARK,WA,6101,Metropolitan South East,Home Care,,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.98474303,115.9062261," $350,493 "
Southern Cross Community Care - South West Sydney,45 Barcom Street,,MERRYLANDS WEST,NSW,2160,Western Sydney,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.83956733,150.9708538," $867,125 "
Southern Cross Community Care - Northern Sydney,402 Bobbin Head Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.70083735,151.1469716," $1,078,506 "
Southern Cross Community Care - Nepean,St Francis Apartments,122 Hyatts Road,PLUMPTON,NSW,2761,Western Sydney,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.74485561,150.8332216," $548,280 "
Southern Cross Community Care - Hunter,7 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.37655678,151.4805947," $968,736 "
Wintringham - Barwon South West Level 1,35/3 Cranwell Court,,HIGHTON,VIC,3216,Barwon-South Western,Home Care,,,,Wintringham,Charitable,Major Cities of Australia,-38.19485017,144.3188161," $35,132 "
Nextt Home Care Services,6 Paxton Street,,SPRINGWOOD,QLD,4127,Logan River Valley,Home Care,,,,AAA Nextt Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.61734764,153.1265348," $766,796 "
Wintringham - Hume Level 1,Flat 37,48-60 Maude Street,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Wintringham,Charitable,Inner Regional Australia,-36.37156121,145.4015311," $34,206 "
